"BOX","MONTH","DEPTH_BIN","min_val","max_val","n","sd","min_depth","max_depth","variable"
5,"05",1,0,4.01,91,1.17145968281522,0,10,"Ammonia"
5,"05",2,0,5.51,100,1.14388341674801,10,30,"Ammonia"
5,"05",3,0,6.725,235,1.36643662479189,30,100,"Ammonia"
5,"05",4,0,5.43,108,1.19132137714265,100,5000,"Ammonia"
5,"06",1,0,1.573,146,0.369559651661327,0,10,"Ammonia"
5,"06",2,0,5.13,139,0.672707180025117,10,30,"Ammonia"
5,"06",3,0.022,3.639,226,0.791957190548675,30,100,"Ammonia"
5,"06",4,0,2.07,140,0.442232615634504,100,5000,"Ammonia"
5,"07",1,0,9.83,335,0.870999677478706,0,10,"Ammonia"
5,"07",2,0,1.384,319,0.302788674957675,10,30,"Ammonia"
5,"07",3,0,5.972,384,0.705458732207469,30,100,"Ammonia"
5,"07",4,0,1.509,324,0.308827920116509,100,5000,"Ammonia"
5,"08",1,0,0.98,135,0.224035973479563,0,10,"Ammonia"
5,"08",2,0,1.04,121,0.247451750590945,10,30,"Ammonia"
5,"08",3,0,1.676,188,0.344161088761696,30,100,"Ammonia"
5,"08",4,0,11.77,129,1.47800888947734,100,5000,"Ammonia"
5,"09",1,0,2.599,67,0.588949922196121,0,10,"Ammonia"
5,"09",2,0,3.028,137,0.691025779668599,10,30,"Ammonia"
5,"09",3,0,3.923,275,0.578040753798919,30,100,"Ammonia"
5,"09",4,0,2.677,105,0.648056284157401,100,5000,"Ammonia"
5,"10",1,0,0.9155,120,0.198762771729945,0,10,"Ammonia"
5,"10",2,0,1.255,172,0.26427431153388,10,30,"Ammonia"
5,"10",3,0,2.82,405,0.349911251399388,30,100,"Ammonia"
5,"10",4,0,0.736,156,0.180325188146717,100,5000,"Ammonia"
5,"11",1,0.014,1.133,48,0.336130378284489,0,10,"Ammonia"
5,"11",2,0,32.233,51,4.4828536637053,10,30,"Ammonia"
5,"11",3,0,1.259,110,0.311827250030448,30,100,"Ammonia"
5,"11",4,0,0.746,53,0.232718578684689,100,5000,"Ammonia"
5,"12",1,0,0.989,49,0.302676668767724,0,10,"Ammonia"
5,"12",2,0,1.164,52,0.338718224258671,10,30,"Ammonia"
5,"12",3,0,1.127,110,0.297596533633529,30,100,"Ammonia"
5,"12",4,0,0.814,52,0.205895922131491,100,5000,"Ammonia"
6,"02",1,0.363,0.721,5,0.13187190754668,0,10,"Ammonia"
6,"02",3,0.488,0.709,4,0.0928188199307303,30,100,"Ammonia"
6,"02",4,0.351,0.351,1,NA,100,5000,"Ammonia"
6,"03",1,0.04,0.635,23,0.202748437364521,0,10,"Ammonia"
6,"03",2,0.08,0.665,45,0.174677547081889,10,30,"Ammonia"
6,"03",3,0,1.239,87,0.284305445264238,30,100,"Ammonia"
6,"03",4,0.012,0.507,18,0.15552529584302,100,5000,"Ammonia"
6,"04",1,0,4.665,356,0.480413918164597,0,10,"Ammonia"
6,"04",2,0,3.5,523,0.494144775954462,10,30,"Ammonia"
6,"04",3,0,3.981,1229,0.615518136343866,30,100,"Ammonia"
6,"04",4,0,6.792,301,0.515405201021788,100,5000,"Ammonia"
6,"05",1,0,1.259,80,0.278704097018003,0,10,"Ammonia"
6,"05",2,0,1.745,93,0.519480437743993,10,30,"Ammonia"
6,"05",3,0,4.819,199,0.8119878750936,30,100,"Ammonia"
6,"05",4,0,1.736,45,0.529025888694581,100,5000,"Ammonia"
6,"06",1,0,0.77,63,0.17423305425223,0,10,"Ammonia"
6,"06",2,0.01,1.331,80,0.335124471255349,10,30,"Ammonia"
6,"06",3,0.01,2.26,88,0.608423702832355,30,100,"Ammonia"
6,"06",4,0,1.422,60,0.381408103273826,100,5000,"Ammonia"
6,"07",1,0,5.13,545,0.530989366575527,0,10,"Ammonia"
6,"07",2,0,5.851,529,0.643309021485866,10,30,"Ammonia"
6,"07",3,0,8.42,766,0.959753076516867,30,100,"Ammonia"
6,"07",4,0,11.86,238,1.26547781646324,100,5000,"Ammonia"
6,"08",1,0,7.86,679,0.499845300547511,0,10,"Ammonia"
6,"08",2,0,8.17,648,0.675824880457684,10,30,"Ammonia"
6,"08",3,0,11.41,942,0.858323850507914,30,100,"Ammonia"
