"depth_bin","month","box","variable","mval","min","max","std","no","min_depth","max_depth"
1,6,2,"ntrz",0.976410256410256,0.01,4.72,1.07531509991377,39,0,10
1,6,2,"phos",0.343666666666667,0.071,0.667,0.158518450947453,48,0,10
1,6,2,"slca",1.79081632653061,0.29,4.48,0.932887177741531,49,0,10
2,6,2,"cphl",2.61951388888889,0.13,38.27,3.37127174648039,144,10,30
2,6,2,"ntrz",1.23913793103448,0,7.4,1.34718196387836,58,10,30
2,6,2,"phos",0.417064102564102,0.024,1.546,0.228883418390497,78,10,30
2,6,2,"slca",1.87484848484848,0.24,5.18,1.11476557373391,66,10,30
3,6,2,"cphl",1.80258928571429,0.06,9.38,1.60841018564593,112,30,100
3,6,2,"ntrz",3.02,0.09,7.88,1.93227888642278,60,30,100
3,6,2,"phos",0.5628875,0.04,1.22,0.283279304571891,80,30,100
3,6,2,"slca",3.30952380952381,0.05,7.69,2.12262119496796,63,30,100
4,6,2,"cphl",0.09,0.09,0.09,0,1,100,5000
4,6,2,"ntrz",9.40333333333333,8.57,10.65,1.0998787811997,3,100,5000
4,6,2,"phos",0.808333333333333,0.747,0.876,0.0647327840690738,3,100,5000
4,6,2,"slca",5.47,4.68,6.76,1.12654338576018,3,100,5000
1,7,2,"cphl",1.6976004950495,0.06,7.31,1.52425321584691,202,0,10
1,7,2,"ntrz",0.378088983050848,0,4.04,0.549710170843574,118,0,10
1,7,2,"phos",0.31087984496124,0,0.83,0.168012680594653,129,0,10
1,7,2,"slca",1.52285658914729,0,4.76,0.863307487030708,129,0,10
2,7,2,"cphl",2.19560262008734,0.08,8.69999999999999,1.73830153582938,229,10,30
2,7,2,"ntrz",1.27053793103448,0,8.29299999999999,1.83810363581105,145,10,30
2,7,2,"phos",0.42437,0,0.8945,0.188341618346403,150,10,30
2,7,2,"slca",2.22953,0,6.632,1.48978098051335,150,10,30
3,7,2,"cphl",1.73036590038314,0.062,9.34,1.61063677570575,261,30,100
3,7,2,"ntrz",4.79295428571428,0,14.15,3.5694180090297,175,30,100
3,7,2,"phos",0.643877142857143,0.1,1.22,0.203976018544375,175,30,100
3,7,2,"slca",4.75047714285714,0.24,13,2.50117489967913,175,30,100
4,7,2,"cphl",0.188855555555556,0.0123,1.23,0.292266186533526,18,100,5000
4,7,2,"ntrz",12.8913541666667,5.55,20.1935,3.87673251726458,24,100,5000
4,7,2,"phos",1.0201875,0.5,1.457,0.262199924240529,24,100,5000
4,7,2,"slca",9.25922916666666,5.15,15.8,3.17378673148313,24,100,5000
1,8,2,"cphl",1.53976995305164,0.02,4.84,1.26370236548282,213,0,10
1,8,2,"ntrz",0.580588235294118,0,3.8,0.810874462573829,187,0,10
1,8,2,"phos",0.334007936507936,0,0.86,0.183928659910597,126,0,10
1,8,2,"slca",1.39878504672897,0,4.39,0.988859741005257,214,0,10
2,8,2,"cphl",2.10352463768116,0.04,6.671,1.36188322079931,345,10,30
2,8,2,"ntrz",1.24385869565218,0,7.47,1.53392208081308,368,10,30
2,8,2,"phos",0.403370967741936,0,1.215,0.255537615942962,248,10,30
2,8,2,"slca",1.73522077922078,0,8.065,1.46150674625838,385,10,30
3,8,2,"cphl",1.60667785234899,0.02,7.66,1.30983975049078,298,30,100
3,8,2,"ntrz",4.4667312072893,0,14.31,3.69529695678417,439,30,100
3,8,2,"phos",0.648590778097983,0,1.54,0.330118702991817,347,30,100
3,8,2,"slca",3.96434560327199,0.29,15.1199999999999,2.60921251333421,489,30,100
4,8,2,"cphl",0.11,0.11,0.11,0,1,100,5000
4,8,2,"ntrz",13.0993478260869,2.86,23.1,4.97869536222908,23,100,5000
4,8,2,"phos",0.899681818181818,0.5,1.51,0.310640564971899,22,100,5000
4,8,2,"slca",7.84661290322581,0.96,13.09,3.09258316705651,31,100,5000
1,9,2,"cphl",0.92,0.09,3.77,1.03413409833219,13,0,10
1,9,2,"ntrz",4.86624999999999,0,24.1,6.71398528219753,24,0,10
1,9,2,"phos",0.757142857142857,0.08,1.66,0.531384335645408,28,0,10
1,9,2,"slca",6.23769230769231,1,28,6.77384222295873,26,0,10
2,9,2,"cphl",NA,NA,NA,NA,0,10,30
2,9,2,"ntrz",1.85172413793103,0,14.5,4.04427467359326,29,10,30
2,9,2,"phos",1.08058823529412,0.08,2.22,0.544643008887587,34,10,30
2,9,2,"slca",9.38709677419355,1,20,5.55384202965142,31,10,30
3,9,2,"cphl",NA,NA,NA,NA,0,30,100
3,9,2,"ntrz",6.59229508196721,0,31.5,7.23131716758033,61,30,100
3,9,2,"phos",0.921304347826087,0.08,2.1,0.597514245568496,69,30,100
3,9,2,"slca",8.88265625,1,26,7.20284428876637,64,30,100
4,9,2,"cphl",NA,NA,NA,NA,0,100,5000
4,9,2,"ntrz",17.5,9.5,28.5,7.90474541019507,5,100,5000
4,9,2,"phos",0.244,0.08,0.55,0.228538836962123,5,100,5000
4,9,2,"slca",3.8,3,5,0.836660026534076,5,100,5000
1,10,2,"cphl",1.69718702290076,0.12,9.3,1.04412607695714,262,0,10
1,10,2,"ntrz",0.984235849056604,0,3.24,0.863029506379961,53,0,10
1,10,2,"phos",0.478518181818182,0.103,0.984,0.183639919499193,55,0,10
1,10,2,"slca",2.62065454545455,0.05,6.19,1.21166604337722,55,0,10
2,10,2,"cphl",1.66526119402985,0.08,6.03,1.08239832619091,268,10,30
2,10,2,"ntrz",1.49208974358974,0,8.283,1.64828095563973,78,10,30
2,10,2,"phos",0.526841463414634,0.103,1.747,0.238318192708005,82,10,30
2,10,2,"slca",3.08035064935065,0.54,6.868,1.38181276595784,77,10,30
3,10,2,"cphl",0.886360115606937,0.02,5.8,0.943472110033791,173,30,100
3,10,2,"ntrz",6.73363257575757,0,16.71,4.39525840318436,132,30,100
3,10,2,"phos",0.783861940298507,0.13,1.592,0.288066365263644,134,30,100
3,10,2,"slca",5.70375,0.21,10.564,2.62849175264082,128,30,100
4,10,2,"cphl",NA,NA,NA,NA,0,100,5000
4,10,2,"ntrz",4.915,2.23,7.98,2.56104796258615,4,100,5000
4,10,2,"phos",0.496,0.442,0.55,0.0763675323681472,2,100,5000
